I,task,L2,1,2,3,4,end_loss,mID,weight_name,path
0,I,6,44.811320754717,50,45.4545454545455,78.5714285714286,0.0114,0,I_6_0.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_0.pt
1,I,6,55.7603686635945,50.4347826086956,61.2903225806452,30,0.0465,1,I_6_1.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_1.pt
2,I,6,47.008547008547,44.8598130841121,29.7872340425532,16.6666666666667,0.0387,2,I_6_2.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_2.pt
3,I,6,58.75,57.7319587628866,74.5454545454546,100,0.053,3,I_6_3.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_3.pt
4,I,6,51.0822510822511,62.5,44.8979591836735,40,0.0233,4,I_6_4.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_4.pt
5,I,6,48.0519480519481,41.2280701754386,59.5744680851064,88.8888888888889,0.0781,5,I_6_5.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_5.pt
6,I,6,51.5151515151515,44.9152542372881,32,50,0.0254,6,I_6_6.pt,/home/k/DATA/graphwalk/torchweights_v2/I_6_6.pt
7,I,9,51.3392857142857,69.8412698412698,62.2222222222222,44.4444444444444,0.0283,7,I_9_7.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_7.pt
8,I,9,52.2935779816514,43.9024390243903,50,66.6666666666667,0.0205,8,I_9_8.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_8.pt
9,I,9,44.8888888888889,40.9090909090909,32.0754716981132,7.69230769230769,0.0205,9,I_9_9.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_9.pt
10,I,9,51.0460251046025,47.8260869565217,23.4042553191489,9.09090909090909,0.0385,10,I_9_10.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_10.pt
11,I,9,49.2753623188406,47.5,40,81.25,0.0345,11,I_9_11.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_11.pt
12,I,9,47.085201793722,49.1935483870968,30.952380952381,44.4444444444444,0.0393,12,I_9_12.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_12.pt
13,I,9,66.5198237885462,64.6017699115044,71.9298245614035,60,0.0336,13,I_9_13.pt,/home/k/DATA/graphwalk/torchweights_v2/I_9_13.pt
14,I,12,41.4634146341463,48.8888888888889,42.5925925925926,22.2222222222222,0.0343,14,I_12_14.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_14.pt
15,I,12,50.4587155963303,49.5652173913044,39.1304347826087,40,0.0464,15,I_12_15.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_15.pt
16,I,12,52.2522522522523,50.4065040650407,32.6086956521739,30,0.0346,16,I_12_16.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_16.pt
17,I,12,53.5398230088496,55.2380952380952,60,61.5384615384615,0.0333,17,I_12_17.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_17.pt
18,I,12,52.914798206278,51.3274336283186,53.3333333333333,66.6666666666667,0.0286,18,I_12_18.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_18.pt
19,I,12,58.0645161290323,73.394495412844,82.3529411764706,100,0.0401,19,I_12_19.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_19.pt
20,I,12,46.7289719626168,58.7155963302752,60.4651162790698,23.0769230769231,0.0286,20,I_12_20.pt,/home/k/DATA/graphwalk/torchweights_v2/I_12_20.pt
21,I,15,44.3965517241379,56.7796610169492,44.6808510638298,44.4444444444444,0.0242,21,I_15_21.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_21.pt
22,I,15,49.3392070484582,59.8214285714286,85.7142857142857,85.7142857142857,0.0192,22,I_15_22.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_22.pt
23,I,15,50.2439024390244,48.0916030534351,55.7692307692308,83.3333333333333,0.0293,23,I_15_23.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_23.pt
24,I,15,55.1401869158878,37.0967741935484,50,33.3333333333333,0.0461,24,I_15_24.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_24.pt
25,I,15,42.3423423423423,42.8571428571429,31.25,50,0.013,25,I_15_25.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_25.pt
26,I,15,47.7678571428571,56.6666666666667,54.3478260869565,18.1818181818182,0.023,26,I_15_26.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_26.pt
27,I,15,50.8771929824562,57.2727272727273,68.1818181818182,25,0.0283,27,I_15_27.pt,/home/k/DATA/graphwalk/torchweights_v2/I_15_27.pt
28,I,18,54.6666666666667,61.6666666666667,41.1764705882353,21.4285714285714,0.0535,28,I_18_28.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_28.pt
29,I,18,58.8785046728972,54.6218487394958,44,16.6666666666667,0.0262,29,I_18_29.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_29.pt
30,I,18,44.4933920704846,44.6153846153846,62.1621621621622,66.6666666666667,0.0491,30,I_18_30.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_30.pt
31,I,18,58.1589958158996,62.1621621621622,61.9047619047619,77.7777777777778,0.0334,31,I_18_31.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_31.pt
32,I,18,59.2436974789916,55.3571428571429,47.0588235294118,66.6666666666667,0.0299,32,I_18_32.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_32.pt
33,I,18,50.2262443438914,54.0540540540541,63.8297872340426,50,0.0368,33,I_18_33.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_33.pt
34,I,18,43.3962264150943,45.1327433628319,37.5,46.6666666666667,0.0323,34,I_18_34.pt,/home/k/DATA/graphwalk/torchweights_v2/I_18_34.pt
