epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,32,256,18,26,9,0.02188168093562126,0.06473564356565475,4.027561664581299,3.11116623878479
0,pure interleaved,32,256,18,13,15,0.02257702127099037,0.22822162508964539,3.790874481201172,4.7114434242248535
0,pure interleaved,32,256,18,5,35,0.020817961543798447,0.1994486153125763,3.9514777660369873,4.937112331390381
0,pure blocked,32,256,18,21,34,0.01735818013548851,0.7219265699386597,2.4810917377471924,9.866768836975098
0,pure blocked,32,256,18,19,8,0.03056984953582287,0.5420349836349487,3.9915103912353516,7.280734062194824
0,pure interleaved,32,256,18,4,16,0.020231062546372414,0.6462903022766113,4.063537120819092,5.41041898727417
5,pure blocked,32,256,18,26,9,0.005022101104259491,0.32099059224128723,4.157792568206787,1.5767180919647217
5,pure interleaved,32,256,18,13,15,0.0019421438919380307,0.5942861437797546,3.901148796081543,4.803839683532715
5,pure interleaved,32,256,18,5,35,0.005492182914167643,0.601622998714447,4.14542818069458,2.195751190185547
5,pure blocked,32,256,18,21,34,0.009133167564868927,0.7515760064125061,4.087411403656006,3.5430822372436523
5,pure blocked,32,256,18,19,8,0.005114032421261072,0.7055891752243042,3.8634090423583984,10.799978256225586
5,pure interleaved,32,256,18,4,16,0.00518084317445755,0.7951719760894775,3.9529294967651367,8.392335891723633
10,pure blocked,32,256,18,26,9,0.005668967962265015,0.9554375410079956,4.154056072235107,2.7757060527801514
10,pure interleaved,32,256,18,13,15,0.0011054020142182708,0.9524593353271484,3.949404716491699,4.038043022155762
10,pure interleaved,32,256,18,5,35,0.0059476811438798904,0.5067164897918701,4.153414726257324,2.812316656112671
10,pure blocked,32,256,18,21,34,0.00592539319768548,0.3642500936985016,4.148492813110352,3.017463207244873
10,pure blocked,32,256,18,19,8,0.0025034609716385603,0.8477067947387695,3.9326837062835693,10.68982982635498
10,pure interleaved,32,256,18,4,16,0.002084186999127269,0.9578889012336731,3.999837875366211,8.028364181518555
15,pure blocked,32,256,18,26,9,0.006575992330908775,0.9972371459007263,4.154022693634033,3.281775951385498
15,pure interleaved,32,256,18,13,15,0.0012611777056008577,0.9781041145324707,4.0287604331970215,2.9247326850891113
15,pure interleaved,32,256,18,5,35,0.006930772680789232,0.5863306522369385,4.154157638549805,3.339055299758911
15,pure blocked,32,256,18,21,34,0.006663900334388018,0.29084599018096924,4.153982162475586,3.3017940521240234
15,pure blocked,32,256,18,19,8,0.0025096710305660963,0.8394381403923035,4.009452819824219,9.77575397491455
15,pure interleaved,32,256,18,4,16,0.0010100370272994041,0.9870139956474304,3.980889320373535,8.595499038696289
20,pure blocked,32,256,18,26,9,0.006476307287812233,0.999822735786438,4.1538519859313965,3.513758420944214
20,pure interleaved,32,256,18,13,15,0.0008620215230621397,0.9892992377281189,3.99334716796875,3.260576009750366
20,pure interleaved,32,256,18,5,35,0.006541918963193893,0.5914517045021057,4.1536664962768555,3.528629779815674
20,pure blocked,32,256,18,21,34,0.006465467158704996,0.2916855216026306,4.1538286209106445,3.507582187652588
20,pure blocked,32,256,18,19,8,0.002681831596419215,0.8574674725532532,4.034438610076904,9.279722213745117
20,pure interleaved,32,256,18,4,16,0.0011218116851523519,0.9845553636550903,3.9910078048706055,8.167914390563965
