epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,hybrid blocked,37,32,18,26,9,0.03117239847779274,0.48006051778793335,4.1080708503723145,3.754178524017334
0,hybrid interleaved,37,32,18,13,15,0.027403907850384712,0.3743773400783539,4.147536277770996,2.74420428276062
0,hybrid interleaved,37,32,18,5,35,0.023260967805981636,0.6366480588912964,4.123562335968018,3.5779075622558594
0,hybrid blocked,37,32,18,21,34,0.023400751873850822,0.11303088068962097,4.159875869750977,1.0315604209899902
0,hybrid blocked,37,32,18,19,8,0.029104741290211678,0.212310791015625,4.112235069274902,3.6486752033233643
0,hybrid interleaved,37,32,18,4,16,0.025557300075888634,0.361735463142395,4.08937931060791,3.8232524394989014
5,hybrid blocked,37,32,18,26,9,0.028365453705191612,0.6480934619903564,4.0877685546875,3.957498073577881
5,hybrid interleaved,37,32,18,13,15,0.020967232063412666,0.7526893019676208,4.131064414978027,2.2642922401428223
5,hybrid interleaved,37,32,18,5,35,0.022577350959181786,0.8035298585891724,4.125765323638916,3.1081366539001465
5,hybrid blocked,37,32,18,21,34,0.01833794265985489,0.3739364445209503,4.141880035400391,1.0162087678909302
5,hybrid blocked,37,32,18,19,8,0.023643717169761658,0.2880139946937561,4.04280424118042,4.277829170227051
5,hybrid interleaved,37,32,18,4,16,0.024096062406897545,0.5828161239624023,3.9926156997680664,5.127806663513184
10,hybrid blocked,37,32,18,26,9,0.02244008332490921,0.8398163914680481,4.1204657554626465,3.210805892944336
10,hybrid interleaved,37,32,18,13,15,0.017804889008402824,0.8727424740791321,4.11156702041626,3.393509864807129
10,hybrid interleaved,37,32,18,5,35,0.015589646063745022,0.645733118057251,4.127846717834473,2.941906452178955
10,hybrid blocked,37,32,18,21,34,0.012428469024598598,0.5502849221229553,4.14340877532959,1.5245046615600586
10,hybrid blocked,37,32,18,19,8,0.018372371792793274,0.6174193620681763,4.0377092361450195,5.246135711669922
10,hybrid interleaved,37,32,18,4,16,0.018788114190101624,0.7424978017807007,3.9741580486297607,5.058475494384766
15,hybrid blocked,37,32,18,26,9,0.015488460659980774,0.9165480136871338,4.134849548339844,2.8067798614501953
15,hybrid interleaved,37,32,18,13,15,0.012109298259019852,0.9540610909461975,4.083992004394531,3.4642844200134277
15,hybrid interleaved,37,32,18,5,35,0.010662917979061604,0.4708311855792999,4.135361671447754,2.5633771419525146
15,hybrid blocked,37,32,18,21,34,0.00845374260097742,0.6125996112823486,4.148509979248047,1.94158935546875
15,hybrid blocked,37,32,18,19,8,0.013007408939301968,0.7467281818389893,4.0375471115112305,4.7821221351623535
15,hybrid interleaved,37,32,18,4,16,0.013801450841128826,0.7730389833450317,3.9517853260040283,5.2542877197265625
20,hybrid blocked,37,32,18,26,9,0.012237989343702793,0.9805665612220764,4.139460563659668,2.3863298892974854
20,hybrid interleaved,37,32,18,13,15,0.009554929099977016,0.9691451787948608,4.084282398223877,3.2072274684906006
20,hybrid interleaved,37,32,18,5,35,0.00810598861426115,0.47098273038864136,4.13350772857666,2.26104474067688
20,hybrid blocked,37,32,18,21,34,0.007226367946714163,0.6825926899909973,4.140849590301514,2.1504287719726562
20,hybrid blocked,37,32,18,19,8,0.008753206580877304,0.847326934337616,4.043537139892578,4.677268981933594
20,hybrid interleaved,37,32,18,4,16,0.013108749873936176,0.8796360492706299,3.9090688228607178,5.448886394500732
25,hybrid blocked,37,32,18,26,9,0.008469179272651672,0.9931697845458984,4.147110462188721,2.191368341445923
25,hybrid interleaved,37,32,18,13,15,0.00714837247505784,0.981531023979187,4.068143367767334,3.31640887260437
25,hybrid interleaved,37,32,18,5,35,0.006204918492585421,0.5437842607498169,4.143241882324219,2.0967628955841064
25,hybrid blocked,37,32,18,21,34,0.005474770441651344,0.6878898739814758,4.147266387939453,2.0927069187164307
25,hybrid blocked,37,32,18,19,8,0.00650187348946929,0.9097926020622253,4.046096324920654,4.537125587463379
25,hybrid interleaved,37,32,18,4,16,0.009234028868377209,0.9439666271209717,3.8262054920196533,6.069045543670654
30,hybrid blocked,37,32,18,26,9,0.006620591040700674,0.9964953660964966,4.152294635772705,1.9108680486679077
30,hybrid interleaved,37,32,18,13,15,0.004725170787423849,0.9927793741226196,4.058675765991211,3.2133593559265137
30,hybrid interleaved,37,32,18,5,35,0.00536281056702137,0.5983538627624512,4.151350021362305,1.8807873725891113
30,hybrid blocked,37,32,18,21,34,0.004723654128611088,0.7026521563529968,4.152543544769287,1.861334204673767
30,hybrid blocked,37,32,18,19,8,0.003641188144683838,0.9420289993286133,4.046933174133301,4.318345546722412
30,hybrid interleaved,37,32,18,4,16,0.006765830796211958,0.9661278128623962,3.8672447204589844,5.950048446655273
35,hybrid blocked,37,32,18,26,9,0.005729480180889368,0.9993350505828857,4.15903902053833,1.6136399507522583
35,hybrid interleaved,37,32,18,13,15,0.004412868991494179,0.9862762093544006,4.05427885055542,3.5522098541259766
35,hybrid interleaved,37,32,18,5,35,0.004998950753360987,0.6214580535888672,4.158811569213867,1.598491907119751
35,hybrid blocked,37,32,18,21,34,0.0046366057358682156,0.6926461458206177,4.1591267585754395,1.5894806385040283
35,hybrid blocked,37,32,18,19,8,0.0035721345338970423,0.9619507789611816,4.042017459869385,4.2820892333984375
35,hybrid interleaved,37,32,18,4,16,0.005147104151546955,0.982750415802002,3.9078192710876465,5.656796455383301
40,hybrid blocked,37,32,18,26,9,0.004779231268912554,0.9999346733093262,4.158578872680664,1.623407006263733
40,hybrid interleaved,37,32,18,13,15,0.0030574779957532883,0.9802344441413879,4.059787750244141,3.595330238342285
40,hybrid interleaved,37,32,18,5,35,0.0043852562084794044,0.688464879989624,4.158511161804199,1.6246496438980103
40,hybrid blocked,37,32,18,21,34,0.004131720867007971,0.726922869682312,4.158599376678467,1.6206386089324951
40,hybrid blocked,37,32,18,19,8,0.0035579530522227287,0.9856269359588623,4.059820175170898,4.134863376617432
40,hybrid interleaved,37,32,18,4,16,0.0032979969400912523,0.9881470203399658,3.8214402198791504,6.278059959411621
45,hybrid blocked,37,32,18,26,9,0.004252149723470211,0.999988317489624,4.160600662231445,1.6190704107284546
45,hybrid interleaved,37,32,18,13,15,0.0020048036240041256,0.9768931269645691,4.048645496368408,3.7524290084838867
45,hybrid interleaved,37,32,18,5,35,0.004030453506857157,0.7650057077407837,4.160584926605225,1.6193095445632935
45,hybrid blocked,37,32,18,21,34,0.0038525578565895557,0.8061363697052002,4.160604000091553,1.6178526878356934
45,hybrid blocked,37,32,18,19,8,0.0022308574989438057,0.9806351661682129,4.070773601531982,3.945448398590088
45,hybrid interleaved,37,32,18,4,16,0.003394916420802474,0.9884871244430542,3.9209980964660645,5.603116989135742
50,hybrid blocked,37,32,18,26,9,0.003905968740582466,0.9999983906745911,4.160289764404297,1.6438099145889282
