epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,28,32,18,26,9,0.027707723900675774,0.14228779077529907,4.0531511306762695,2.408672332763672
0,pure interleaved,28,32,18,13,15,0.02670702338218689,0.6411880254745483,3.894385814666748,5.234254837036133
0,pure interleaved,28,32,18,5,35,0.027798576280474663,0.2480655163526535,4.084865570068359,3.6960883140563965
0,pure blocked,28,32,18,21,34,0.032078422605991364,0.7754155397415161,3.9861934185028076,6.61014461517334
0,pure blocked,28,32,18,19,8,0.030106838792562485,0.29381975531578064,4.117738723754883,3.399905204772949
0,pure interleaved,28,32,18,4,16,0.023916780948638916,0.1634143441915512,3.9518566131591797,5.817325592041016
5,pure blocked,28,32,18,26,9,0.022448312491178513,0.016837092116475105,4.101599216461182,2.08935546875
5,pure interleaved,28,32,18,13,15,0.01942075975239277,0.6285946369171143,3.886850357055664,5.182287216186523
5,pure interleaved,28,32,18,5,35,0.02176767960190773,0.16217246651649475,4.079326629638672,2.9886276721954346
5,pure blocked,28,32,18,21,34,0.024142034351825714,0.8173699378967285,4.03553581237793,5.831409454345703
5,pure blocked,28,32,18,19,8,0.023342492058873177,0.07075352221727371,4.099980354309082,3.762699604034424
5,pure interleaved,28,32,18,4,16,0.018945978954434395,0.20161007344722748,3.744952440261841,8.269404411315918
10,pure blocked,28,32,18,26,9,0.017581187188625336,0.3424873650074005,4.154308795928955,1.1966021060943604
10,pure interleaved,28,32,18,13,15,0.012922241352498531,0.8020648956298828,3.996523141860962,3.907118797302246
10,pure interleaved,28,32,18,5,35,0.014681247994303703,0.19048085808753967,4.112946510314941,1.6117727756500244
10,pure blocked,28,32,18,21,34,0.014327670447528362,0.6701643466949463,4.1186628341674805,3.1938552856445312
10,pure blocked,28,32,18,19,8,0.015867292881011963,0.09515150636434555,4.090340614318848,3.9523158073425293
10,pure interleaved,28,32,18,4,16,0.0160067118704319,0.25113534927368164,3.5283143520355225,8.59907341003418
15,pure blocked,28,32,18,26,9,0.011881762184202671,0.8567119240760803,4.160011291503906,1.1918065547943115
15,pure interleaved,28,32,18,13,15,0.008638672530651093,0.8838738203048706,4.027990818023682,3.439399003982544
15,pure interleaved,28,32,18,5,35,0.010423571802675724,0.18046298623085022,4.13545560836792,1.7862803936004639
15,pure blocked,28,32,18,21,34,0.009694659151136875,0.32432711124420166,4.1320881843566895,2.3212881088256836
15,pure blocked,28,32,18,19,8,0.009805306792259216,0.10641025751829147,4.0734052658081055,3.9481587409973145
15,pure interleaved,28,32,18,4,16,0.014179511927068233,0.2799735367298126,3.441798686981201,8.553853988647461
20,pure blocked,28,32,18,26,9,0.009228779934346676,0.9679580330848694,4.148294448852539,1.4998912811279297
20,pure interleaved,28,32,18,13,15,0.006710402201861143,0.9078341126441956,4.052103519439697,3.054804563522339
20,pure interleaved,28,32,18,5,35,0.008659581653773785,0.4070722460746765,4.146015644073486,1.8262672424316406
20,pure blocked,28,32,18,21,34,0.007922593504190445,0.20491160452365875,4.132688045501709,2.1251587867736816
20,pure blocked,28,32,18,19,8,0.007394177373498678,0.1485937386751175,4.0734968185424805,4.134340286254883
