epoch,model_type,seed,hidden_size1,bottleneck_size,stim_A,stim_C,C_activation,cosine_sim,representation_entropy,representation_sparsity
0,pure blocked,8,32,18,26,9,0.026146089658141136,0.25832393765449524,4.1274495124816895,2.1706604957580566
0,pure interleaved,8,32,18,13,15,0.021473286673426628,0.3663198947906494,4.029767990112305,7.155470848083496
0,pure interleaved,8,32,18,5,35,0.028741376474499702,0.15729841589927673,4.085506916046143,4.92399263381958
0,pure blocked,8,32,18,21,34,0.02539423108100891,0.2914355397224426,4.159804344177246,1.3250178098678589
0,pure blocked,8,32,18,19,8,0.02626981772482395,0.4061059057712555,4.079963207244873,3.302421808242798
0,pure interleaved,8,32,18,4,16,0.03173793479800224,0.0375065878033638,4.1305060386657715,2.0857009887695312
5,pure blocked,8,32,18,26,9,0.020136896520853043,0.24342340230941772,4.144087791442871,2.0552618503570557
5,pure interleaved,8,32,18,13,15,0.018643632531166077,0.33893540501594543,3.969923496246338,9.517873764038086
5,pure interleaved,8,32,18,5,35,0.022704321891069412,0.18741512298583984,4.095951080322266,4.214674949645996
5,pure blocked,8,32,18,21,34,0.022592296823859215,0.08722171187400818,4.142977714538574,2.2619900703430176
5,pure blocked,8,32,18,19,8,0.021629929542541504,0.3020953834056854,4.084200859069824,3.7201666831970215
5,pure interleaved,8,32,18,4,16,0.023545578122138977,0.15770316123962402,4.127397537231445,2.510624885559082
10,pure blocked,8,32,18,26,9,0.015691572800278664,0.6418880820274353,4.138620853424072,2.0046887397766113
10,pure interleaved,8,32,18,13,15,0.014633121900260448,0.34430477023124695,3.9968678951263428,9.38404655456543
10,pure interleaved,8,32,18,5,35,0.0190449059009552,0.23913489282131195,4.131011009216309,2.853917121887207
10,pure blocked,8,32,18,21,34,0.019447341561317444,0.14190128445625305,4.149300575256348,2.044569969177246
10,pure blocked,8,32,18,19,8,0.01811809651553631,0.4187873601913452,4.076138496398926,5.020786762237549
10,pure interleaved,8,32,18,4,16,0.015932442620396614,0.08326155692338943,4.120954990386963,2.727795124053955
15,pure blocked,8,32,18,26,9,0.01314188726246357,0.8621450066566467,4.150911808013916,1.7220280170440674
15,pure interleaved,8,32,18,13,15,0.013486507348716259,0.35767626762390137,4.022562026977539,8.830840110778809
15,pure interleaved,8,32,18,5,35,0.015054143033921719,0.324531227350235,4.1523332595825195,1.4969189167022705
15,pure blocked,8,32,18,21,34,0.015042908489704132,0.10093048214912415,4.157885551452637,1.5585269927978516
15,pure blocked,8,32,18,19,8,0.017509818077087402,0.6441012620925903,4.04323673248291,6.031895160675049
15,pure interleaved,8,32,18,4,16,0.011174499057233334,0.0018445705063641071,4.146792411804199,1.6539353132247925
20,pure blocked,8,32,18,26,9,0.010098091326653957,0.8628055453300476,4.154387950897217,1.561519980430603
20,pure interleaved,8,32,18,13,15,0.011595070362091064,0.4008983373641968,3.9793732166290283,9.704107284545898
20,pure interleaved,8,32,18,5,35,0.010043074376881123,0.530641496181488,4.160012722015381,1.358590006828308
20,pure blocked,8,32,18,21,34,0.011145859956741333,0.051819540560245514,4.159240245819092,1.4993696212768555
20,pure blocked,8,32,18,19,8,0.01331370510160923,0.734544575214386,3.996202230453491,8.18391227722168
20,pure interleaved,8,32,18,4,16,0.00791159551590681,0.07647622376680374,4.162971496582031,0.9773333668708801
25,pure blocked,8,32,18,26,9,0.008053517900407314,0.9698135256767273,4.160741806030273,1.424132227897644
25,pure interleaved,8,32,18,13,15,0.010386435315012932,0.3247365355491638,3.990475654602051,8.21727180480957
25,pure interleaved,8,32,18,5,35,0.008187510073184967,0.723246157169342,4.163145542144775,1.3118181228637695
25,pure blocked,8,32,18,21,34,0.008397426456212997,0.01911919005215168,4.160995960235596,1.3781261444091797
25,pure blocked,8,32,18,19,8,0.01183468010276556,0.7016170024871826,4.05942440032959,7.907217979431152
25,pure interleaved,8,32,18,4,16,0.006995196454226971,0.34021446108818054,4.162770748138428,1.0467396974563599
30,pure blocked,8,32,18,26,9,0.00622551841661334,0.9951711893081665,4.159235954284668,1.3455365896224976
30,pure interleaved,8,32,18,13,15,0.009492358192801476,0.32288461923599243,4.017794609069824,7.470487117767334
30,pure interleaved,8,32,18,5,35,0.006430590525269508,0.6496655344963074,4.161334991455078,1.3592891693115234
30,pure blocked,8,32,18,21,34,0.0066367401741445065,0.029098790138959885,4.159097194671631,1.3332675695419312
30,pure blocked,8,32,18,19,8,0.010838015004992485,0.7624754309654236,4.056455135345459,8.2593994140625
30,pure interleaved,8,32,18,4,16,0.005721867084503174,0.6932356953620911,4.1584553718566895,1.113509178161621
35,pure blocked,8,32,18,26,9,0.005933160427957773,0.9996815919876099,4.159882545471191,1.3150008916854858
35,pure interleaved,8,32,18,13,15,0.007324811536818743,0.2956681549549103,3.9529709815979004,8.159712791442871
35,pure interleaved,8,32,18,5,35,0.006039527710527182,0.6132155060768127,4.161007881164551,1.351050853729248
35,pure blocked,8,32,18,21,34,0.006128374952822924,0.016349880024790764,4.160157680511475,1.3380515575408936
35,pure blocked,8,32,18,19,8,0.010571256279945374,0.8077474236488342,4.065115928649902,8.422578811645508
35,pure interleaved,8,32,18,4,16,0.005404268391430378,0.9031656384468079,4.153497695922852,1.229740858078003
40,pure blocked,8,32,18,26,9,0.004984486848115921,0.9995092153549194,4.160387992858887,0.916250467300415
40,pure interleaved,8,32,18,13,15,0.006376022472977638,0.3191733956336975,3.9582576751708984,8.179511070251465
40,pure interleaved,8,32,18,5,35,0.005082899704575539,0.3851012587547302,4.160804271697998,0.9090273976325989
40,pure blocked,8,32,18,21,34,0.005086415447294712,0.0,4.160661697387695,0.9153460264205933
40,pure blocked,8,32,18,19,8,0.009910352528095245,0.7954986095428467,4.080437183380127,7.829980373382568
40,pure interleaved,8,32,18,4,16,0.004995391704142094,0.9524545073509216,4.142153263092041,1.3544790744781494
